Division,District,Name,Population20,Quintile,HCR Upper (%),Standard Error (%)
Mymensingh Division,Jamalpur District,Bakshiganj,238190,Very High ,29.5,6
Mymensingh Division,Jamalpur District,Dewanganj,286519,High ,24.8,3.7
Mymensingh Division,Jamalpur District,Islampur,317720,Low ,11.4,3.5
Mymensingh Division,Jamalpur District,Jamalpur Sadar,656989,Low ,9.8,2.7
Mymensingh Division,Jamalpur District,Madarganj,284981,Low ,12.4,3.6
Mymensingh Division,Jamalpur District,Melandaha,350023,High ,26.8,4.1
Mymensingh Division,Jamalpur District,Sarishabari,341113,High ,27.9,3.2
Mymensingh Division,Mymensingh District,Bhaluka,556443,Very Low ,9,1.6
Mymensingh Division,Mymensingh District,Dhobaura,214858,High ,28.1,4.5
Mymensingh Division,Mymensingh District,Fulbaria,488207,Low ,9.9,4
Mymensingh Division,Mymensingh District,Gafargaon,455687,Low ,10,2.5
Mymensingh Division,Mymensingh District,Gouripur,350958,Very High ,52.9,3.7
Mymensingh Division,Mymensingh District,Haluaghat,312807,Very High ,59.6,3.5
Mymensingh Division,Mymensingh District,Ishwarganj,398271,High ,27.5,3.6
Mymensingh Division,Mymensingh District,Mymensingh Sadar,935481,Very Low ,5.5,2.3
Mymensingh Division,Mymensingh District,Muktagachha,446165,Very Low ,7.2,2.8
Mymensingh Division,Mymensingh District,Nandail,416623,High ,25.4,2.8
Mymensingh Division,Mymensingh District,Fulpur,345021,Very High ,32.8,4.1
Mymensingh Division,Mymensingh District,Tarakanda,335104,High ,23.3,5
Mymensingh Division,Mymensingh District,Trishal,481755,High ,22.2,3.1
Mymensingh Division,Netrakona District,Atpara,142125,Very High ,34,12.5
Mymensingh Division,Netrakona District,Barhatta,180071,Very High ,36.6,17.2
Mymensingh Division,Netrakona District,Durgapur,237111,Very High ,47.6,4.7
Mymensingh Division,Netrakona District,Khaliajuri,95533,Very High ,47.2,19.2
Mymensingh Division,Netrakona District,Kalmakanda,268277,Very High ,32.6,3.2
Mymensingh Division,Netrakona District,Kendua,312852,High ,23.5,5.8
Mymensingh Division,Netrakona District,Madan,147946,Very High ,38.8,15.9
Mymensingh Division,Netrakona District,Mohanganj,164212,Very High ,34.2,4.2
Mymensingh Division,Netrakona District,Netrakona Sadar,407278,Very High ,45.8,3.9
Mymensingh Division,Netrakona District,Purbadhala,325616,Low ,12.4,4.4
Mymensingh Division,Sherpur District,Jhenaigati,175800,Low ,10.8,4.1
Mymensingh Division,Sherpur District,Nakla,206798,High ,28,9.7
Mymensingh Division,Sherpur District,Nalitabari,268656,High ,27.5,4.9
,Sherpur District,Sherpur Sadar,553264,Moderate ,18.3,2.4
,Sherpur District,Sreebardi,277918,Moderate ,15.6,4.2
Rajshahi Division,Bogura District,Adamdighi,203653,Very Low ,9.4,4.8
Rajshahi Division,Bogura District,Bogura Sadar,619584,Very Low ,6.9,1.1
Rajshahi Division,Bogura District,Dhunat,305280,Low ,11.1,3.7
Rajshahi Division,Bogura District,Dupchachia,191034,Very Low ,7,5.5
Rajshahi Division,Bogura District,Gabtali,340500,Low ,14.5,3.5
Rajshahi Division,Bogura District,Kahaloo,232354,Low ,10.2,2.4
Rajshahi Division,Bogura District,Nandigram,197429,Low ,12.2,6.9
Rajshahi Division,Bogura District,Sariakandi,274313,Very High ,30.1,4.2
Rajshahi Division,Bogura District,Shajahanpur,321601,Very Low ,4.5,2
Rajshahi Division,Bogura District,Sherpur,377535,Moderate ,17,4.3
Rajshahi Division,Bogura District,Shibganj,397401,Low ,10,2.9
Rajshahi Division,Bogura District,Sonatala,191233,Moderate ,15.6,9.7
Rajshahi Division,Joypurhat District,Akkelpur,142453,Low ,11,3.3
Rajshahi Division,Joypurhat District,Joypurhat Sadar,305288,Moderate ,15.7,5.6
Rajshahi Division,Joypurhat District,Kalai,144692,High ,22.3,2.8
Rajshahi Division,Joypurhat District,Khetlal,110148,Moderate ,15.3,7.5
Rajshahi Division,Joypurhat District,Panchbibi,235529,Low ,12.5,3.5
Rajshahi Division,Naogaon District,Atrai,199340,Moderate ,16.7,9.4
Rajshahi Division,Naogaon District,Badalgachhi,205188,High ,25.7,3.6
Rajshahi Division,Naogaon District,Dhamoirhat,191550,Moderate ,15.3,8.2
Rajshahi Division,Naogaon District,Manda,377730,Low ,12.2,2.5
Rajshahi Division,Naogaon District,Mahadebpur,303069,Moderate ,16.5,9.2
Rajshahi Division,Naogaon District,Naogaon Sadar,431886,Very Low ,7.3,2.7
Rajshahi Division,Naogaon District,Niamatpur,267524,Low ,12.7,4.1
Rajshahi Division,Naogaon District,Patnitala,246650,Moderate ,17.9,3.5
Rajshahi Division,Naogaon District,Porsha,141195,High ,23.2,8.9
Rajshahi Division,Naogaon District,Raninagar,188634,Moderate ,16.6,8.5
Rajshahi Division,Naogaon District,Sapahar,179151,Very High ,32.2,4.7
Rajshahi Division,Natore District,Bagatipara,137075,High ,21.6,10.1
Rajshahi Division,Natore District,Baraigram,305580,High ,23.7,4.6
Rajshahi Division,Natore District,Gurudaspur,229210,Very High ,40.2,5.8
Rajshahi Division,Natore District,Lalpur,303782,High ,23.1,11.4
Rajshahi Division,Natore District,Naldanga,134133,Moderate ,16.5,4.8
Rajshahi Division,Natore District,Natore Sadar,343908,High ,22.2,11.4
Rajshahi Division,Natore District,Singra,374370,High ,22.4,4
Rajshahi Division,Chapainawabganj District,Bholahat,112715,Very High ,31.9,5.5
Rajshahi Division,Chapainawabganj District,Gomastapur,300418,Very High ,36.6,14.2
Rajshahi Division,Chapainawabganj District,Nachole,165910,Moderate ,19.9,6
Rajshahi Division,Chapainawabganj District,"Chapainawabganj
Sadar",573178,High ,27.2,3.3
Rajshahi Division,Chapainawabganj District,Shibganj,664254,Very High ,44.6,4.9
Rajshahi Division,Pabna District,Atgharia,176663,Low ,11.6,6.3
Rajshahi Division,Pabna District,Bera,298608,Moderate ,17.7,3.4
Rajshahi Division,Pabna District,Bhangura,134879,Low ,13.9,7.3
Rajshahi Division,Pabna District,Chatmohar,329279,Moderate ,15.3,3.2
Rajshahi Division,Pabna District,Faridpur,139141,Low ,12.3,4
Rajshahi Division,Pabna District,Ishwardi,378350,Low ,11.9,4.7
Rajshahi Division,Pabna District,Pabna Sadar,685156,Very Low ,7.2,1.9
Rajshahi Division,Pabna District,Santhia,407301,Low ,12.3,3.5
Rajshahi Division,Pabna District,Sujanagar,302873,Low ,13.6,7.4
Rajshahi Division,Rajshahi District,Bagha,194242,Low ,12.7,3.9
Rajshahi Division,Rajshahi District,Bagmara,371140,Low ,13.5,3.4
Rajshahi Division,Rajshahi District,Boalia,177894,Very Low ,5.3,1.2
Rajshahi Division,Rajshahi District,Chandrima,58144,Low ,10.8,5.8
Rajshahi Division,Rajshahi District,Charghat,222754,Low ,13.1,7.2
Rajshahi Division,Rajshahi District,Durgapur,196570,Moderate ,15.4,2.9
Rajshahi Division,Rajshahi District,Godagari,372994,High ,23.9,3.8
Rajshahi Division,Rajshahi District,Kashiadanga,42410,Very Low ,9.7,2.4
Rajshahi Division,Rajshahi District,Matihar,59116,Moderate ,15.7,2.7
Rajshahi Division,Rajshahi District,Mohanpur,185120,Low ,14.4,8.9
Rajshahi Division,Rajshahi District,Paba,361328,Moderate ,19.3,3.7
Rajshahi Division,Rajshahi District,Puthia,222489,Low ,13.5,7.6
Rajshahi Division,Rajshahi District,Rajpara,106376,Low ,12.7,1.8
Rajshahi Division,Rajshahi District,Shah Makhdum,34954,Very Low ,9.5,5.2
Rajshahi Division,Rajshahi District,Tanore,211001,Moderate ,19.1,4
Rajshahi Division,Sirajganj District,Belkuchi,390526,High ,23.9,2.4
Rajshahi Division,Sirajganj District,Chouhali,136727,Low ,14.5,6.4
Rajshahi Division,Sirajganj District,Kamarkhanda,152314,Very Low ,8.3,5
Rajshahi Division,Sirajganj District,Kazipur,278279,Moderate ,18.3,2.3
Rajshahi Division,Sirajganj District,Rayganj,340876,Very Low ,3.6,2.8
Rajshahi Division,Sirajganj District,Shahjadpur,592610,Moderate ,15.7,2
Rajshahi Division,Sirajganj District,Sirajganj Sadar,608583,Very Low ,3.8,2.2
Rajshahi Division,Sirajganj District,Tarash,209096,Very Low ,3.7,2.1
Rajshahi Division,Sirajganj District,Ullapara,580839,Very Low ,7.9,2.1
Rangpur Division,Dinajpur District,Birampur,180549,Very High ,36.5,3.9
Rangpur Division,Dinajpur District,Birganj,350512,High ,23.2,4.2
Rangpur Division,Dinajpur District,Birol,279378,High ,27.9,10.9
Rangpur Division,Dinajpur District,Bochaganj,168980,Very High ,44.6,4.6
Rangpur Division,Dinajpur District,Chirirbandar,318152,High ,21.2,5.2
Rangpur Division,Dinajpur District,Fulbari,190033,High ,27,8.1
Rangpur Division,Dinajpur District,Ghoraghat,128040,High ,28,9.2
Rangpur Division,Dinajpur District,Hakimpur,93438,Moderate ,19.5,3.8
Rangpur Division,Dinajpur District,Kaharole,171854,Very High ,29.5,10.6
Rangpur Division,Dinajpur District,Khansama,195852,High ,27.4,4.5
Rangpur Division,Dinajpur District,Dinajpur Sadar,516003,High ,24.5,2.9
Rangpur Division,Dinajpur District,Nababganj,250292,High ,24.4,10.4
Rangpur Division,Dinajpur District,Parbatipur,393568,Moderate ,16.7,5
Rangpur Division,Gaibandha District,Fulchhari,165143,Moderate ,19.8,4.9
Rangpur Division,Gaibandha District,Gaibandha Sadar,486698,Very High ,31,4.1
Rangpur Division,Gaibandha District,Gobindaganj,537752,Moderate ,17.1,3
Rangpur Division,Gaibandha District,Palashbari,264626,Very High ,41.7,3.8
Rangpur Division,Gaibandha District,Sadullapur,310342,Moderate ,20.9,3.8
Rangpur Division,Gaibandha District,Saghata,286413,High ,23,7.8
Rangpur Division,Gaibandha District,Sundarganj,478385,High ,21.9,2.9
Rangpur Division,Kurigram District,Bhurungamari,254439,Very High ,37.6,4.7
Rangpur Division,Kurigram District,Rajibpur,78013,Very High ,38.5,8.6
Rangpur Division,Kurigram District,Chilmari,130830,Very High ,31.5,10.8
Rangpur Division,Kurigram District,Phulbari,184805,High ,24.5,5
Rangpur Division,Kurigram District,Kurigram Sadar,351118,Very High ,39,4.6
Rangpur Division,Kurigram District,Nageshwari,441325,Very High ,35.5,4.2
Rangpur Division,Kurigram District,Rajarhat,201720,Very High ,28.6,13.6
Rangpur Division,Kurigram District,Roumari,226313,Very High ,30.2,5.1
Rangpur Division,Kurigram District,Ulipur,437277,Moderate ,20.5,5.2
Rangpur Division,"Lalmonirhat
District",Aditmari,248355,Moderate ,16.5,4.1
Rangpur Division,"Lalmonirhat
District",Hatibandha,261862,Very Low ,9.6,3.3
Rangpur Division,"Lalmonirhat
District",Kaliganj,274407,High ,26.5,3.5
Rangpur Division,"Lalmonirhat
District",Lalmonirhat Sadar,368234,Moderate ,21.1,7.2
Rangpur Division,"Lalmonirhat
District",Patgram,260597,High ,25.2,3.4
Rangpur Division,Nilphamari District,Dimla,314675,Moderate ,20.9,3.8
Rangpur Division,Nilphamari District,Domar,279296,Moderate ,18.4,4.7
Rangpur Division,Nilphamari District,Jaldhaka,383369,Very High ,29.1,4
Rangpur Division,Nilphamari District,Kishoreganj,265897,High ,25.9,7.7
Rangpur Division,Nilphamari District,Nilphamari Sadar,515038,Moderate ,17.7,2.9
Rangpur Division,Nilphamari District,Saidpur,306299,High ,22.9,5.1
Rangpur Division,Panchagarh District,Atowari,139976,Very High ,29.4,12.5
Rangpur Division,Panchagarh District,Boda,272127,Very High ,48.2,5.5
Rangpur Division,Panchagarh District,Debiganj,263429,Very High ,30.3,5.3
Rangpur Division,Panchagarh District,Panchagarh Sadar,328199,Very High ,31.6,10.8
Rangpur Division,Panchagarh District,Tentulia,157044,Moderate ,19,4.5
Rangpur Division,Rangpur District,Badarganj,310599,High ,21.5,4.8
Rangpur Division,Rangpur District,Gangachara,283675,Moderate ,15.3,4.7
Rangpur Division,Rangpur District,Hajirhat,76167,Very High ,38.2,7.3
Rangpur Division,Rangpur District,Haragachh,61660,Very High ,42,8
Rangpur Division,Rangpur District,Kaunia,236988,High ,24.7,6.6
Rangpur Division,Rangpur District,Kotwali,310859,High ,22.4,4.5
Rangpur Division,Rangpur District,Rangpur Sadar,176621,Moderate ,20.5,3.9
Rangpur Division,Rangpur District,Mahiganj,54689,Very High ,29.9,7.3
Rangpur Division,Rangpur District,Mithapukur,533435,Moderate ,20.3,4
Rangpur Division,Rangpur District,Parshuram,68773,Very High ,30.6,7.9
Rangpur Division,Rangpur District,Pirgachha,323670,Low ,14.1,3.6
Rangpur Division,Rangpur District,Pirganj,407669,High ,22.3,4.4
Rangpur Division,Rangpur District,Tajhat,79421,Very High ,31.6,7.5
Rangpur Division,Rangpur District,Taraganj,158212,High ,22.5,7.7
Rangpur Division,Thakurgaon District,Baliadangi,205904,Very High ,30.9,5.2
Rangpur Division,Thakurgaon District,Haripur,158103,High ,23.5,9.9
Rangpur Division,Thakurgaon District,Pirganj,260952,High ,24,3.6
Rangpur Division,Thakurgaon District,Ranishankail,239193,Moderate ,17,5.1
Rangpur Division,Thakurgaon District,Thakurgaon Sadar,641387,High ,22.8,4.1
Sylhet Division,Habiganj District,Ajmiriganj,125661,Low ,12.4,6.4
Sylhet Division,Habiganj District,Bahubal,216474,Moderate ,20.3,1.7
Sylhet Division,Habiganj District,Baniachong,353339,Low ,11.7,2.7
Sylhet Division,Habiganj District,Chunarughat,338982,Low ,11.1,1.6
Sylhet Division,Habiganj District,Habiganj Sadar,296592,Very Low ,7.4,1.3
Sylhet Division,Habiganj District,Lakhai,157465,Low ,10.2,2.3
Sylhet Division,Habiganj District,Madhabpur,376071,Very Low ,9.1,1.9
Sylhet Division,Habiganj District,Nabiganj,363472,Low ,10,1.7
Sylhet Division,Habiganj District,Shayestaganj,93042,Very Low ,6.2,3.3
Sylhet Division,"Moulvibazar
District",Baralekha,278828,Low ,12.1,2.7
Sylhet Division,"Moulvibazar
District",Juri,161181,High ,25.8,6.7
Sylhet Division,"Moulvibazar
District",Kamalganj,286682,High ,22,2.1
Sylhet Division,"Moulvibazar
District",Kulaura,394156,High ,26.5,2.5
Sylhet Division,"Moulvibazar
District",Moulvibazar Sadar,365077,Low ,11,2.4
Sylhet Division,"Moulvibazar
District",Rajnagar,248235,Low ,12.8,3.1
Sylhet Division,"Moulvibazar
District",Sreemangal,354710,Very High ,31.3,2.4
Sylhet Division,Sunamganj District,Bishwambharpur,189574,Very High ,46.7,5.2
Sylhet Division,Sunamganj District,Chhatak,442203,Very High ,29.3,2.4
Sylhet Division,Sunamganj District,Derai,252129,Moderate ,19.1,4.4
Sylhet Division,Sunamganj District,Dharmapasha,132247,High ,25.7,10.7
Sylhet Division,Sunamganj District,Dowarabazar,258969,High ,22.9,3.4
Sylhet Division,Sunamganj District,Jagannathpur,261626,Very High ,28.9,4
Sylhet Division,Sunamganj District,Jamalganj,185134,Very High ,30.2,4.4
Sylhet Division,Sunamganj District,Madhyanagar,95248,High ,25.5,9.5
Sylhet Division,Sunamganj District,Shalla,116907,Very High ,34.8,4.9
Sylhet Division,Sunamganj District,Shantiganj,203664,High ,28.2,11.7
Sylhet Division,Sunamganj District,Sunamganj Sadar,313964,Moderate ,20,3.9
Sylhet Division,Sunamganj District,Tahirpur,223551,High ,22.7,4.6
Sylhet Division,Sylhet District,Airport,87535,Very Low ,9.2,2.7
Sylhet Division,Sylhet District,Balaganj,122741,Moderate ,17.1,7.8
Sylhet Division,Sylhet District,Beanibazar,254846,Moderate ,20,2.7
Sylhet Division,Sylhet District,Bishwanath,234310,Moderate ,19.8,3.5
Sylhet Division,Sylhet District,Companiganj,191183,Moderate ,19.5,3.5
Sylhet Division,Sylhet District,Dakkhin Surma,294637,Very Low ,9.1,2.4
Sylhet Division,Sylhet District,Fenchuganj,112362,Moderate ,16.9,3.2
Sylhet Division,Sylhet District,Golapganj,327314,High ,22.2,2.3
Sylhet Division,Sylhet District,Gowainghat,353502,Moderate ,19.1,3.6
Sylhet Division,Sylhet District,Jalalabad,30081,Very Low ,7.9,2.6
Sylhet Division,Sylhet District,Jaintapur,197738,Low ,12.3,4
Sylhet Division,Sylhet District,Kotwali,238680,Very Low ,9.3,1.6
Sylhet Division,Sylhet District,Moglabazar,19921,Moderate ,15.9,6.8
Sylhet Division,Sylhet District,Kanaighat,315777,Low ,9.9,2.9
Sylhet Division,Sylhet District,Osmaninagar,212394,Moderate ,20.2,3.1
Sylhet Division,Sylhet District,Sylhet Sadar,418670,Moderate ,20.1,2
Sylhet Division,Sylhet District,Shahparan,76022,Very Low ,8.3,1.9
Sylhet Division,Sylhet District,Zakiganj,263617,Low ,13.5,3.5
